t	V	n	m	h
5.20002	-69.6131	0.266887	0.0302164	0.655238
5.21002	-69.6115	0.266817	0.030222	0.655343
5.22002	-69.6098	0.266747	0.0302275	0.655447
5.23002	-69.6082	0.266678	0.0302331	0.655552
5.24003	-69.6065	0.266609	0.0302388	0.655656
5.25003	-69.6049	0.26654	0.0302445	0.655759
5.26003	-69.6032	0.266471	0.0302502	0.655863
5.27003	-69.6015	0.266402	0.0302559	0.655967
5.28003	-69.5998	0.266334	0.0302616	0.65607
5.29003	-69.5981	0.266265	0.0302674	0.656173
5.30003	-69.5965	0.266197	0.0302732	0.656276
5.31003	-69.5947	0.266129	0.0302791	0.656378
5.32003	-69.593	0.266062	0.030285	0.656481
5.33003	-69.5913	0.265994	0.0302909	0.656583
